date,stock_id,open,high,low,close,volume,pe,pb,roe,gross_margin
2019-01-02,2317,53.145726862621714,53.145726862621714,52.02922001962062,52.17808532714844,16775306,,,,
2019-01-03,2317,51.359318065021704,51.657054377979804,50.98714909353604,51.28488540649414,36198461,,,,
2019-01-04,2317,50.76384712827234,50.76384712827234,49.87064383852454,50.31724548339844,37013571,,,,
2019-01-07,2317,51.13601143054472,51.657051367568776,50.83828081378526,51.582618713378906,24084557,,,,
2019-01-08,2317,51.80591471467617,51.80591471467617,50.76384055892648,51.06157684326172,18303188,,,,
2019-01-09,2317,51.28488267768866,52.25251854475597,51.21045002312156,52.02922058105469,31946504,,,,
2019-01-10,2317,51.954787663175736,51.954787663175736,51.28488241777195,51.582618713378906,19041006,,,,
2019-01-11,2317,51.95478738041231,52.25251799555138,51.65705108642578,51.65705108642578,23895923,,,,
2019-01-14,2317,51.58261647980428,51.88034708367173,51.06157656534173,51.136009216308594,14186528,,,,
2019-01-15,2317,51.73148887030919,52.550259500832254,51.73148887030919,52.326961517333984,34095247,,,,
2019-01-16,2317,51.954794672662025,52.475829001133974,51.954794672662025,52.252525329589844,16978789,,,,
2019-01-17,2317,52.624684210745706,52.77355518943247,52.10364998245998,52.40138626098633,14229333,,,,
2019-01-18,2317,52.475819750389505,52.69912338256837,52.326954448168436,52.69912338256836,13989609,,,,
2019-01-21,2317,53.07129502320672,53.14572767811276,52.773558724735004,52.996856689453125,13812012,,,,
2019-01-22,2317,52.99685998604949,52.99685998604949,52.3269603713774,52.624691009521484,9804658,,,,
2019-01-23,2317,52.475816925391086,52.475816925391086,51.80591174376564,51.88034439086914,13311510,,,,
2019-01-24,2317,51.731491579328264,52.17809324855999,51.731491579328264,52.103660583496094,21008129,,,,
2019-01-25,2317,52.252522032993475,52.773562007441434,52.252522032993475,52.624691009521484,30878222,,,,
2019-01-28,2317,52.69912338256837,52.84798868478943,52.55025240150003,52.69912338256836,19776596,,,,
2019-01-29,2317,52.02922058105469,52.55025484187189,51.95478792648759,52.02922058105469,24642535,,,,
2019-01-30,2317,52.02922791843219,52.47582958766392,51.95479525336829,52.103660583496094,25665168,,,,
2019-02-11,2317,53.07129478153663,53.07129478153663,52.02922058105469,52.02922058105469,37551372,,,,
2019-02-12,2317,52.475816567738846,53.592323303222656,52.25251294910332,53.592323303222656,39354433,,,,
2019-02-13,2317,53.74118859641506,54.18779583368612,53.29458703799092,53.592323303222656,31353987,,,,
2019-02-14,2317,53.59232683812573,53.74119214113716,53.14572525024414,53.14572525024414,15001817,,,,
2019-02-15,2317,53.22016480902313,53.22016480902313,52.326961517333984,52.326961517333984,24217212,,,,
2019-02-18,2317,52.69912663195938,53.369026212106974,52.69912663195938,52.847991943359375,24104159,,,,
2019-02-19,2317,53.145721744798514,53.81562692185818,53.145721744798514,53.592323303222656,26849801,,,,
2019-02-20,2317,54.038929258509725,54.93213812688062,53.89006395320494,54.485530853271484,46550905,,,,
2019-02-21,2317,54.78326555580475,54.93213653564454,54.33666397397984,54.93213653564453,29935136,,,,
2019-02-22,2317,54.70883560180664,54.70883560180664,54.33666665213449,54.70883560180664,24033042,,,,
2019-02-25,2317,54.708839703202,54.708839703202,54.11336706754635,54.63440704345703,23324206,,,,
